"studyName","lai","light","age","a.lf","a.ssba","a.ssbh","a.ssbc","a.shba","a.shbh","a.shbc","a.sbba","a.sbbh","a.sbbc","a.stba","a.stbh","a.stbc","a.cp","a.cs","h.t","h.c","d.ba","d.bh","d.cr","c.d","m.lf","m.ss","m.sh","m.sb","m.st","m.so","m.br","m.rf","m.rc","m.rt","m.to","a.ilf","ma.ilf","r.st","r.ss","r.sb","r.sh","n.lf","n.ss","n.sb","n.sh","n.rf","n.rc"
"Hashizume1985","","","?","","","","","","","","","","","","","","","","?","?","","d3","?","","m4","","","","m4","m4","m4","","","","","","","","","","","","","","","",""
"Holdaway2008","","","k1","a1,e3","","","","","","","","","","?","?","","","","d7,p3","","d2,p2","p1,p3","","","m3,x6","","","","","","","","","","","a1,e3","m3,a1,x6","","","","","","","","","",""
"Iijima1991","","","?","e1,a4","","","","","","","","","","","","?","","","?","?","","d3","","","m4","","","","m4","m4","m4","","","","","","","","","","","","","","","",""
"Ikushima1964","","","","?","","","","","","","","","","","","","","","","","","d3","","","mx","","","","","mx","","","","","","","","","","","","","","","","",""
"Ilomaki2003","","","","","","","","","","","","","","","","","","","c,d7,p3","c,d7,p3","","d3","","","m3,x1","","","","j,m3","","k4,x1,m3","","","","","","","","","","","","","","","",""
"Ishii2000","","","","?","","","","","","","","","","","","","","","?","","","d3","","","mx,x1","","","","mx","mx","mx","","","","","","","","","","","","","","","",""
"Kabaya1968","","","","","","","","","","","","","","","","","","","?","","","d3","","","mx","","","","mx","mx","mx","","","","","","","","","","","","","","","",""
"Kabaya1981","","","?","","","","","","","","","","","","","","","","?","","?","d3","","","m4","","","","m4","m4","m4","","","m4","m4","","","","","","","","","","","",""
"Kantola2004","","","n1","e1,a5","","","","","","","","","","","d3","","f","","c,d7,p3","c,d7,p3","","d3","d1,f","","m3,x1,k4","","","","v1","","m3,x1,k4","","","","","","","","","","","","","","","",""
"Karizumi1984","","","?","","","","","","","","","","","","","","","","?","","","d3","","","mx","","","","mx","mx","mx","","","mx","mx","","","","","","","","","","","",""
"Katagiri1984","","","?","","","","","","","","","","","","","","","","?","","","d3","","","mx","","","","mx","mx","mx","","","","","","","","","","","","","","","",""
"Katakura2007","","","","","","","","","","","","","","","","","","","?","?","","d3","","","m4","","","","m4","m4","m4","","","m4","m4","","","","","","","","","","","",""
"Kato1973","","","?","?","","","","","","","","","","","","","","","?","?","","d3","","","m4,x1","","","","m4","m4","m4","","","m4","m4","","","","","","","","","","","",""
"Kawahara1981","","","","","","","","","","","","","","","","","","","?","","","d3","","","mx","","","","mx","mx","mx","","","","","","","","","","","","","","","",""
"Kawanabe1977","","","?","?","","","","","","","","","","","","?","","","?","?","","d3","","","mx","","","","mx","mx","mx","","","","","","","","","","","","","","","",""
"Kelly0000a","","","","a1,x7,x1","","","","","","","","","","","","","","?","m3","","","","?","","","","","","","","","","","","","ax1,1","","","","","","","","","","",""
"Kelly0000b","","","","a1,x7,x1","","","","","","","","","","","","","","","?","","?","","f","","m3","","","","m3","m3","","m3","m3","m3","m3","","","","","","","","","","","",""
"Kenzo2009","","l4","","","","","","","","","","","","","","","","",NA,NA,"d1,f","d3","","","m3,x1","","","","m4,x1","","","m4,x1","m4,x1","m4,x1","","","m3,x1","?","","","","m3","m3","","","m3","m3"
"Kenzo2009b","","","","","","","","","","","","","","","","","","",NA,NA,"d1,f","d3","","","m3,x1","","","","m4,x1","","m4,x1","","","m4,x1","","","m3,x1","?","","","","","","","","",""
"King1994","","l2","","a3","","","","","","","","","","","","","","","d7,p3","","","","","","m3,x1","","","","x8","","","","","","","a3","","","","","","","","","","",""
"King1996","","","","","","","","","","","","","","","","","","","p4","d6","d4,v3,x1","","f,d1,f","d8","","","","","","","","","","","","","","","","","","","","","","",""
"Kitazawa1959","","","","e1","","","","","","","","","","","","","","","?","","","d3","","","mx,x1","","","","","mx,x1","","","","","","","","","","","","","","","","",""
"Kohyama0000","","","","","","","","","","","","","","","","","","","?","","","","?","","m4","","","","m4","","","","","m4","","","","","","","","","","","","",""
"Kohyama1987","","","","e1","","","","","","","","","","","","","","","?","?","",NA,"f","","m4,x6","","","","m4","","m4","","","","","","","","","","","","","","","",""
"Kohyama1990","","","","e1","","","","","","","","","","","","","f","","?","?","",NA,"","","m4,x6","","","","m4","m4","m4","","","","","","m4,a1,x1","","","","","","","","","",""
"Kohyama1994","","","","a1,a4","","","","","","","","","","","","","","","?","","","","?","","m4,x6","","","","m4","","","","","m4","","","m4,a1,x6","","","","","","","","","",""
"Komiyama2002","","","","e1,x1","","","","","","","","","","","","?","","","?","?","","d3","","","m4","","","","m4","m4","m4","","","","","","","","","","","","","","","",""
"Komiyama2003","","","?","","","","","","","","","","","","","?","","","?","?","?","d3","","","","","","","","m4","","","","m4","m4","","","","","","","","","","","",""
"leMaire2011","k3","?","k1","e1","d1","","","","","","","","","","v3","","","","x6","x6","","","v6","","m3,x6,x1","","","","","","m3","","","","","","m3,x1","j,k3","","","","","","","","",""
"Lewis2013","","","","a1,x7,x1","","","","","","","","","","","","","","","","","","","","","m3","","","","m3","","","","","m3","","","?","","","","","","","","","",""
"Lusk0000a","","","","?","","","","","","","","","","","","","?","?","?","?","d1,f","","","","mx","","","","mx","","","","","mx","","?","","","","","","","","","","",""
"Lusk0000b","","","","?","","","","","","","","","","","","","?","?","?","?","d1,f","","","","mx","","","","mx","","","","","mx","","?","","","","","","","","","","",""
"Lusk2002","","","","a1,x6","","","","","","","","","","","","","?","?","?","?","?","","","","m3,x6","","","","mx","","","","","mx","","","","","","","","","","","","",""
"Lusk2004","","","","a1,x6","","","","","","","","","","","","","?","?","?","?","?","","","","m3,x6","","","","mx","","","","","mx","","","","","","","","","","","","",""
"Lusk2011","","","","a1,x6","","","","","","","","","","","","","?","?","?","?","d1,f","","","","m3,x6","","","","mx","","","","","mx","","?","","","","","","","","","","",""
"Lusk2012","","","","a4","","","","","","","","","","","","","?","?","?","?","d1,f","","","","m3,x6","","","","mx","","","","","mx","","?","","","","","","","","","","",""
"Lusk2013","","","","?","","","","","","","","","","","","","?","?","?","?","d1,f","","","","mx","","","","mx","","","","","mx","","?","","","","","","","","","","",""
"Maguire1998","","","?","a4,k4","","","","","","","","","","","?","","?","?","?","?","","?","?","","m3,x1,k4","","","","?","","?","","","","","","","","","","","","","","","",""
"Markesteijn2009","","l6","","e1","","","","","","","","","","d4","","d6","","","","d6","","","","","m3,x1","","","","m3","m3","m3","m3","m3","m3","m3","x1","m3,a1,x6","v1,v5","","","","","","","","",""
"Martin1998","","","?","e1","","j","","","","","","","","","","","","","?","","","?","","","m3,x1","m3","m3","m3","m3","m3","","","","","","","m3,a1,x1","?","","","","?","?","?","?","",""
"McCulloh2010","","","","a1,a4,e1,x1","d2,j","","","","","","","","","","","","","","d7","","d2,j","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mokany2003","","","n1","e1,k4","j","","","a2","","","","","","v3","","","","","c,d7,p3","c,d7,p3","","","","","m4,x6","","","","","","","","","","","","","","","","","","","","","",""
"Monserud1999","","","?","a4,e1","","?","?","","","","","","","","?","","?","?","?","?","","?","?","","m3,x1","","","","?","","?","","","","","","","","","","","","","","","",""
"Mori1979","","","?","","","","","","","","","","","","","","","","?","?","","d3","","","mx","","","","mx","mx","mx","","","","","","","","","","","","","","","",""
"Mori1991","","","","e1,a4","","","","","","","","","","","","","f","","?","","","?","?","","m5,x1","","","","mx","","mx","","","mx","","","","","","","","","","","","",""
"Morisawa1957","","","","e1,x2","","","","","","","","","","","","","?","","?","?","","d3","","","x2,m3","","","","","","","","","","","","","","","","","","","","","",""
"Muro2006","","","","","","","","","","","","","","","","","","","","","","d3","","","","","","","","","","","","m4","","","","","","","","","","","","",""
"Myster2009","","","","a1","","","","","","","","","","","","","","","?","","","","","","m1","","","","m1","","","","","m1","","","","","","","","","","","","",""
"Naidu1998","","","","","","?","?","","","","","","","","","","","","?","","","d3","","","m3,x1","j","","","j","?","j","","","?","?","","","","","","","","","","","",""
"Nakagaki1983","","","?","e1,a4","","","","","","","","","","","","?","","","?","?","","d3","","","m4","","","","m4","m4","m4","","","m4","m4","","","","","","","","","","","",""
"Nishioka1982","","","","e1,a4,x1","","","","","","","","","","","","?","","","?","?","?","d3","","","m4,x1","","","","e2,m4,j","m4","e2,m4","","","","","","","","","","","","","","","",""
"Nouvellon2010","?","?","?","e1","","","","","","","","","","","?","","","","?","?","","","","","m3,x1","","","m3","m3","","m3","","","","","x1","m3,x1","","","","","","","","","",""
"OGrady2000","","","","l1","","","","","","","","","","","","","","","","","","d3","","","mx","","","","mx","mx","","","","","","","","","","","","","","","","",""
"OGrady2006","","","","a1,x1,e1","?","?","","","","","","","","","","","","","?","","?","?","","","m3,x1","","","","m3","","m3","m3","m3","","","","","","","","","","","","","",""
"OHara1995","","","","e1,a5","","j","","","","","","","","","","","","","c,d7,p3","c,d7,p3","","c,d7,p3","","","","","","","","","","","","","","","","","","","","","","","","",""
"OHara2014","","","","a1,e1,a4","j","j","j","","","","","","","j","","","","","c,d7,p3","c,d7,p3","c,d7,p3","c,d7,p3","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ohtsuka2005","","","?","","","","","","","","","","","","","","","","?","","","d3","","","","","","","j,e2,m4","","m4","","","m4","","","","","","","","","","","","",""
"Osada0000","?","l5","","?","","","","","","","","","","","","","?","","?","","?","?","","?","?","","","","?","","","","","","","?","?","","","","","","","","","",""
"Osada2003","?","l5","","a1,x1","","","","","","","","","","","","","?","","?","","?","?","","?","m3,x1","","","","?","","","","","","","a1","m3,a1,x1","","","","","","","","","",""
"Osada2005","?","l5","","a1,x1,e1","","","","","","","","","","","","","f","","?","","?","?","","?","m3,x1","","","","?","","","","","","","a1,x1","?","","","","","","","","","",""
"Osunkoya2007","","","","","","","","","","","","","","","","","f","","p4","","","d3","f","?","","","","","","","","","","","","","","","","","","","","","","",""
"Parviainen1999","","","n1","","","","","","","","","","","","","","","","c,d7,p3","c,d7,p3","","d3","f","","k4,m3","","","","v1,j","","k4,m3","","","","","","","","","","","","","","","",""
"Peri0000","x1","","","a1","","","","","","","","","","","","","f","","x1","","","","","","m3","","","","m3","","m3","m3","m3","m3","",NA,"","","","","","x1","x1","","","x1","x1"
"Peri2008","x1","","","a1","","","","","","","","","","","","","f","","x1","","","","","","m3","","","","m3","","m3","m3","m3","m3","",NA,"","","","","","x1","x1","","","x1","x1"
"Peri2011","x1","","","a1","","","","","","","","","","","","","f","","x1","","","","","","m3","","","","m3","","m3","m3","m3","m3","",NA,"","","","","","x1","x1","","","x1","x1"
"Petritan2009","?","l2","","a1,x1,e1","","","","","","","","","","?","","","f","","?","?","","","","?","","","","","","","","","","","","a1,x1","m3,a1,x1","","","","","","","","","",""
"Poorter1999","","l4","?","a1","","","","","","","","","","","","","?","","?","","d4","","f","?","m3","","","","m3","m3","m3","","","m3","m3","a1","m3,a1","?","","","","","","","","",""
"Portsmuth2005","","","","a3,a5,x1","","","","","","","","","","","","","","","?","","?","","","","m4,x6","","","","m4","m4","","m4","m4","m4","m4","","a3,a4,m4,x1","","","","","m4","","","","","m4"
"Portsmuth2006","","?","","a1,x6","","","","","","","","","","","","","","","?","","?","","","","m4,x6","","","","m4","m4","","m4","m4","m4","m4","","a1,m4,x6","","","","","m4","","","","",""
"Reid2004","?","","?","e1,a1,a4,x1","","?","","","","","","","","","?","","","","?","?","","?","?","","m4,x1","","","","","","","","","","","","","","","","","","","","","",""
"Ribeiro2011","","","","","","","","","","","","","","","","","","","?","","","v3","","","m3,x1","","","","m4","","","","","","","","","m4","","","","","","","","",""
"Roberts2003","","","","a4","","","","","","","","","","","","","","","d1,f","d1,f","","d3","x2","","m4,x1","","","","e2","","e2","","","","","","","","","","","","","","","",""
"Roberts2004","","","","a4","","","","","","","","","","","","","","","d1,f","d1,f","","d3","x2","","m4,x1","","","","e2","","e2","","","","","","","","","","","","","","","",""
"Rodriguez2003","","","","","","j","","","","","","","","","","","","","c,d7,p3","","","d3","","","m4,x1","","","m4","m4","","m4","m4","m4","","","","","","","","","","","","","",""
"Roeh1997","","","","a4","","?","?","","","","","","","","","","","","?","","","?","","?","?","","","","","","","","","","","","","","","","","","","","","",""
"Roth2007","","","?","a5","","","","","","","","","","","","","","","?","?","?","?","?","","m3,x1","","","?","?","","?","","?","","","","?","","","","","","","","","",""
"Saito1981","","","?","","","","","","","","","","","","","","","","?","","","d3","","","m4,x1","","","","j,m4,e2","m4","m4","","","","","","","","","","","","","","","",""
"Salazar2010","","","","","","","","","","","","","","","","","","","?","","","?","","","m4","","","","m4","m4","m4","","","","","","","","","","","","","","","",""
"SaldanaAcosta2009","","l2","","","","","","","","","","","","","","","","","d7,p3","","","","","","m4,x6","","","","m4","","","","","m4","","","a1,m4,x6","","","","","","","","","",""
"SantaRegina0000","","","","","","","","","","","","","","","","","","","?","","","?","","","?","","","","?","","?","","","","","","","","","","","","","","","",""
"SantaRegina1999","","","","","","","","","","","","","","","","","","","?","","","?","","","m4,x1","","","","m4","m4","m4","","","","","","","","","","","","","","","",""
"Sato1971","","","","","","","","","","","","","","","","","","","?","?","","d3","","","mx","","","","mx","mx","mx","","","","","","","","","","","","","","","",""
"Satoo1968","","","","e1,x1","","","","","","","","","","","","","","","?","","","d3","","","m4,x1","","","","m4,v5","m4","m4","","","","","","","","","","","","","","","",""
"Satoo1974a","","","","e1,a4,x1","","","","","","","","","","","","","","","?","","","d3","","","mx,x1","","","","mx,j","mx","mx","","","","","","","","","","","","","","","",""
"Satoo1974b","","","","e1,x1","","","","","","","","","","","","","","","?","","","d3","","","mx","","","","mx","mx","mx","","","","","","","","","","","","","","","",""
"Satoo1974c","","","?","","","","","","","","","","","","","","","","?","","","d3","","","mx,x1","","","","j,mx,e2","mx","mx","","","","","","","","","","","","","","","",""
"Satoo1974d","","","","a4,e1,x1","","","","","","","","","","","","","","","?","","","d3","","","mx,x1","","","","mx,j,e2","mx","mx","","","mx","mx","","","","","","","","","","","",""
"Satoo1974e","","","?","","","","","","","","","","","","","","","","?","","","d3","","","mx,x1","","","","mx,j,v5","mx","mx","","","","","","","","","","","","","","","",""
"Segawa1969","","","?","e1,x1","","","","","","","","","","","","","","","?","?","","d1,f","","","m4,x1","","","","j,e2,m4","m4","m4","","","","","","","","","","","","","","","",""
"Segawa1973","","","","x1,e1","","","","","","","","","","","","","","","?","?","","d3","","","m4,x1","","","","j,m4,e2","m4","m4","","","","","","","","","","","","","","","",""
"Selaya2010","?","l3","?","e1,a1,x1","","","","","","","","","","","d4","","","","?","?","","","","","m3","","","","?","","b1","","","","","x2","a1,m3,x1","?","","","","x1","","","","",""
"Sillett2010","","","?","e1,a1,x1,a4","","","","","","","","","","","?","","","","?","","","","","","m3","","","","?","m3","","","","","","","","","","","","","","","","",""
"Singh1980","","","","","","","","","","","","","","","","","","","?","","","d3","","","m3","","","","e2,m3","m3","m3","","","m3","m3","","","","","","","","","","","",""
"Stancioiu2005","","","","a1,a4,x1","","j","j","","","","","","","","","","","","c,d7,p3","c,d7,p3","","j","","","m5","","","","","","","","","","","","","","","","","","","","","",""
"Sterck0000","","","","?","","","","","","","","","","","","","?","","?","","","","","?","","","","","","","","","","","","?","?","?","","","","","","","","",""
"Sterck2001","","l2","","a1,x1,x7","","","","","","","","","","","","","","","?","?","","?","?","","","","","","","","","","","","","?","?","","","","","","","","","",""
"Suzuki1990","","","","e1,x1","","","","","","","","","","","","","","","?","","","d3","","","m4,x1","","","","j,e2,m4","m4","m4","","","","","","","","","","","","","","","",""
"Suzuki2012","","","","","","","","","","","","","","","","","","","","","","d3","","","mx1,m4,1","","","","j,e2,m3,m4","m3,m4","m3,m4","","","m3,m4","m3,m4","","","","","","","","","","","",""
"Sweda2003","","","","","","","","","","","","","","","","","","","?","","","d3","","","mx","","","","mx","mx","mx","","","mx","mx","","","","","","","","","","","",""
"Tadaki1979","","","","","","","","","","","","","","","","","","","?","","","d3","","","mx","","","","mx","mx","mx","","","mx","mx","","","","","","","","","","","",""
"Tadaki1995","","","?","e1","","","","","","","","","","","","","","","?","","","d3","","","m4","","","","m4","m4","m4","","","m4","m4","","","","","","","","","","","",""
"Takagi2010","","","","","","","","","","","","","","","","","","","?","","","d3","?","","mx1,m4,1","","","","j,e2,m3,m4","m3,m4","m3,m4","","m3,m4","","m3,m4","","","","","","","","","","","",""
"Takahashi1999","","","?","a1,e1,x1","","","","","","","","","","","","?","?","","?","?","","d3","","","m4,x1","","","","j,e2,m4","m4","m4","","","m4","m4","","","","","","","","","","","",""
"Tanao1982","","","?","e1,a4","","","","","","","","","","","","?","","","?","?","","d3","","","m4","","","","m4","m4","m4","","","m4","m4","","","","","","","","","","","",""
"Tange1995","","","?","","","","","","","","","","","","","","","","?","","?","d3","","","m4,x1","","","","j,e2,m4","m4","m4","","","","","","","","","","","","","","","",""
"Tange2010","","","?","","","","","","","","","","","","","","","","?","?","","d3","","","m4","","","","j,e2,m4","m4","m4","","","","","","","","","","","","","","","",""
"Terashi1982","","","","e1","","","","","","","","","","","","","","","?","?","","d3","","","mx","","","","mx","mx","mx","","","","","","","","","","","","","","","",""
"Tissue0000a","","","","a1,x7,x1","","","","","","","","","","","","","","","","","","","","","m3","","","","m3","","","","","m3","","","","","","","","","","","","",""
"Tissue0000b","","","","a1,x7,x1","","","","","","","","","","","","","","","?","","","","","","m3","","","","m3","","","","","m3","","","","","","","","","","","","",""
"Tissue0000c","","","","a1,x7,x1,a4","","","","","","","","","","","","","","","","","","","","","m3","","","","m3","","","","","","","","?","","","","","?","","","","",""
"Utsugi0000","","","","","","","","","","","","","","","","","","","?","","","d3","","","x1,m3","","","","j,e2,m3","m3","m3","","","","","","","","","","","","","","","",""
"Utsugi2004","","","","","","","","","","","","","","","","","","","?","?","","d3","","","mx1,1","","","","j,e2,m3","m3","m3","","","","","","","","","","","","","","","",""
"Valladares2000","","","","a1,x1,k3","","","","","","","","","","","","","?","?","?","?","","","","","m3,x1","","","","","","","","","","?","?","a1,m3,x1,x3","x2","","","","","","","","",""
"vanBreugel2011","","","","","","","","","","","","","","","","","k3","","?","d6","v3","d3","","","m3,x1","","","","m3","m3","m3","","","","","","","","","","","","","","","",""
"Vanninen2005","","","n1","e1,a5","","","","","","","","","","","","","","","c,d7,p3","c,d7,p3","","d3","","","m4,x1,k4","j","j","","j,v2,v1","","k4","r1,m4","m4","","","","","","","","","","","","","",""
"Wang1995","","","","","","","","","","","","","","","","","","","?","","","?","","","m3,x1","","","m3","m3","m3","m3","","","","","","","","","","","","","","","",""
"Wang1996","","","","","","","","","","","","","","","","","","","?","","","?","","","m3,x1","","","m3","m3","m3","m3","","","","","","","","","","","","","","","",""
"Wang2000","","","","","","","","","","","","","","","","","","","?","?","?","?","","","m3,x1","","","m3","m3","","m3","m3","m3","","m3","","","","","","","","","","","",""
"Wang2011","","","?","a5","","","","","","","","","","","","","","","c,d7,p3","","c,d7,p3","","","","m3","","","","m3","","m3","","","","m3","","","","","","","","","","","",""
"Watanabe1984","","","?","e1,x1","","","","","","","","","","","","","","","?","","","d3","","","m4,x1","","","","e2,m4","m4","m4","","","","","","","","","","","","","","","",""
"Watanabe1985","","","?","e1,x1","","","","","","","","","","","","","","","?","","","d3","","","m4,x1","","","","m4","m4","m4","","","","","","","","","","","","","","","",""
"Wenk0000","","","n2","e1,b1","","","","","","","","","","d1,p2","","","","","p3","","d1,p2","","","","m3","","","","m3","m3","","","","","","x1,x8","m3,x1,x8","","","","","","","","","",""
"Whittaker1974","","","?","","","","","","","","","","","","","","","","?","","","d3","","","m4,x1,k4","","","","m4","m4","m4","","","m4","m4","","","","","","","","","","","",""
"Williams2005","","","","k1","","","","","","","","","","","","","","","?","?","","d3","","","m3,x1","","","m3","e2,m3,j","e2,m3,j","e2,m3,j","","","","","","","","","","","","","","","",""
"Ximenes2004","","","","","","","","","","","","","","","","","","","?","","","?","","","","","","?","","?","","","","","","","","","","","","","","","","",""
"Yamaba2007","","","?","","","","","","","","","","","","","","","","?","","","d3","","","m4,x1","","","","m4","m4","m4","","","m4","m4","","","","","","","","","","","",""
"Yamada1957","","","?","","","","","","","","","","","","","","","","?","?","","d3","","","mx","","","","mx","mx","mx","","","","","","","","","","","","","","","",""
"Yamada1996","","","","","","","","","","","","","","","","","?","","?","?","?","?","","","mx","","","","mx","mx","mx","","","","","","","","","","","","","","","",""
"Yamada2000","","","","","","","","","","","","","","","","","f","","?","?","?","?","","","m4","","","","m4","m4","m4","","","","","","","","","","","","","","","",""
"Yamaji1991","","","?","e1,a4","","","","","","","","","","","","?","","","?","?","","d3","","","m4","","","","m4","m4","m4","","","","","","","","","","","","","","","",""
