"Year","Ring","CO2","Woodmass_allometric","Woodmass_Lidar","Woodmass_stem","Woodmass_branch","Woodarea_total","Woodarea_stem","Woodarea_branch","Wood_interception"
"2015",1,"ele",5565.991,8517.012,6387.77266666667,2129.67666666667,390.543333333333,180.55,209.993333333333,0.795608345492298
"2015",2,"amb",5285.748,9610.37266666667,5241.65866666667,4368.28213333333,574.096666666667,164.46,409.636666666667,1.16954012560103
"2015",3,"amb",5372.639,8442.966,6397.77666666667,2044.97066666667,435.383333333333,190.54,244.843333333333,0.886955643389778
"2015",4,"ele",3609.48,5751.234,4311.99733333333,1439.23666666667,326.053333333333,158.28,167.773333333333,0.664230396308345
"2015",5,"ele",6738.106,12752.722,9110.938,3639.70284,611.96,270.04,341.92,1.24667467487381
"2015",6,"amb",5311.698,8795.32,5536.50333333333,3257.614,444.013333333333,147.97,296.043333333333,0.904536535023481
