"Dbh.QSM","Stem.mass","Branch.mass","Total.mass","Total.height","plot","tree","CO2"
7.81,32.39,35.588,67.978,8.89,"plot 3",25,"amb"
14.7,95.12,38.212,132.84,12.3,"plot 3",26,"amb"
14.4,65.026,102.5,167.28,12,"plot 3",27,"amb"
17.5,152.52,37.966,190.24,16,"plot 3",28,"amb"
31.3,376.38,142.68,519.88,19.6,"plot 3",29,"amb"
40.7,473.14,137.76,610.08,20.6,"plot 3",30,"amb"
16.7,78.474,67.322,145.96,14.1,"plot 3",31,"amb"
28.7,463.3,142.68,606.8,18.5,"plot 3",32,"amb"
19.4,235.34,40.18,275.52,19.3,"plot 3",33,"amb"
21.5,175.48,68.388,243.54,16.5,"plot 3",34,"amb"
18.2,100.04,18.778,118.9,13.7,"plot 3",35,"amb"
31.5,346.04,108.24,454.28,18.4,"plot 3",36,"amb"
17,71.75,29.192,100.86,14.4,"plot 4",1,"ele"
7.5,20.418,9.43,29.848,7.6,"plot 4",2,"ele"
8.15,24.518,13.612,38.13,7.25,"plot 4",3,"ele"
12.9,50.266,38.294,88.56,10.6,"plot 4",4,"ele"
5.46,21.402,38.376,59.778,7.65,"plot 4",5,"ele"
9.21,23.534,7.4538,30.996,6.82,"plot 4",6,"ele"
12.3,32.554,16.072,48.626,9.08,"plot 4",7,"ele"
15.1,58.548,46.986,105.78,12.3,"plot 4",8,"ele"
9.94,63.878,51.988,115.62,13.3,"plot 4",9,"ele"
13.7,77.736,40.918,118.9,15.6,"plot 4",10,"ele"
14.3,55.432,33.784,89.38,12.9,"plot 4",11,"ele"
11.2,34.276,6.4862,40.836,10.4,"plot 4",12,"ele"
15.4,84.46,14.432,99.22,14.4,"plot 4",13,"ele"
5.3,7.1258,5.8466,12.956,6.26,"plot 4",14,"ele"
11.5,73.062,51.004,123.82,14.3,"plot 4",15,"ele"
12.4,87.74,34.932,123,13,"plot 4",16,"ele"
14.3,70.356,12.874,83.64,13.2,"plot 4",17,"ele"
17.7,87.74,79.048,166.46,11.9,"plot 4",18,"ele"
20.3,174.66,86.1,261.58,18.2,"plot 4",19,"ele"
13.2,49.692,19.434,69.126,10.6,"plot 4",20,"ele"
25.9,137.76,23.944,161.54,14.5,"plot 4",21,"ele"
19.4,109.88,39.278,148.42,13.9,"plot 4",22,"ele"
12.7,62.894,81.918,145.14,12.3,"plot 4",23,"ele"
12.9,61.336,46.986,108.24,10.7,"plot 4",24,"ele"
9.06,25.502,1.9352,27.388,5.89,"plot 4",25,"ele"
19.2,99.22,36.982,136.12,16.7,"plot 4",26,"ele"
15.4,63.796,30.094,93.48,12.4,"plot 4",27,"ele"
14.3,88.56,101.68,190.24,15.1,"plot 4",28,"ele"
28,186.14,74.046,259.94,17.4,"plot 4",29,"ele"
20.5,105.78,46.658,152.52,15.4,"plot 4",30,"ele"
7.33,46.248,19.106,65.272,15.5,"plot 4",31,"ele"
7.84,34.85,20.172,55.022,9.71,"plot 4",32,"ele"
14.3,59.86,16.482,76.342,12.2,"plot 4",33,"ele"
11.5,74.292,45.1,119.72,16,"plot 4",34,"ele"
18.9,164,49.282,213.2,18.3,"plot 4",35,"ele"
9.35,50.676,19.516,70.11,12.7,"plot 4",36,"ele"
12.8,63.96,34.768,98.4,13.1,"plot 4",37,"ele"
21.3,143.5,39.606,182.86,17.8,"plot 4",38,"ele"
25.3,203.36,27.798,231.24,18.9,"plot 4",39,"ele"
