"Ring","treenr","dbh_qsm","trunk_volume","trunk_length","total_height","trunk_surfarea"
"R4",39,26.3,509,24.5,18.9,10.7
"R4",4,16.8,113,12.9,11,3.79
"R4",40,31,391,17.4,14.1,7.56
"R4",41,25.1,364,20.9,17.3,8.25
"R4",5,6.88,29.7,8.95,7.81,1.66
"R4",6,11.6,42.2,8.77,7.12,1.78
"R4",7,12.5,50.7,10.2,9.1,2.29
"R4",8,26.9,186,15.6,12.9,4.49
"R4",9,12.7,163,16.5,14.2,5.35
"R5",1,11.5,122,14.4,13.1,4.19
"R5",10,37.7,1246,20.7,16.8,16.5
"R5",11,17.4,125,12.4,11.1,3.79
"R5",12,19.6,191,16,13.1,5.59
"R5",13,28.3,492,23.3,18.8,10.5
"R5",14,28.9,661,24.2,21.3,12.3
"R5",15,17.9,272,22.3,18.3,7.72
"R5",16,28,582,25.5,22.2,11.9
"R5",17,13.7,77.4,10.9,8.39,2.9
"R5",18,25,175,17.4,15.3,5.31
"R5",19,24.4,500,24.3,20.1,10.2
"R5",2,23.6,466,26.5,21.9,10.8
"R5",20,19.8,188,15,12,5.09
"R5",21,39.2,852,24.5,20.7,13.5
"R5",22,43.5,885,26.2,21.5,14.1
"R5",23,15.1,227,16.9,14.1,6.26
"R5",24,31,585,24.1,21.7,11.4
"R5",25,12.4,91.3,11.7,9.51,3.21
"R5",26,19.4,295,17,13.2,7.01
"R5",27,9.79,45.1,7.37,6.19,1.87
"R5",28,58.1,979,23.1,19.5,13.7
"R5",29,24,425,22.6,19.4,9.65
"R5",3,32.7,637,25.4,21.1,12
"R5",30,38.7,642,16.4,15.3,9.33
"R5",31,24.3,253,18.6,16.3,6.51
"R5",32,24.5,333,19.2,16.4,7.97
"R5",33,39.8,876,23.9,21.5,14.3
"R5",34,33.5,810,30.4,22.1,14.5
"R5",35,28.9,465,23.7,19.1,10
"R5",36,29.3,681,22.4,21.1,12
"R5",37,53.4,545,18.9,16.7,8.8
"R5",38,21.6,436,22.4,20.6,9.9
"R5",39,16.2,187,18,12.9,5.64
"R5",4,24.8,336,17.6,16.4,7.34
"R5",40,16,92.1,11.7,10.4,3.36
"R5",41,21,323,20.8,18.5,8.1
"R5",42,23,172,22,19.6,5.74
"R5",5,31.1,782,30.6,21.5,14.2
"R5",6,22.6,372,21.3,20.3,8.78
"R5",7,12.5,97.3,15.5,14.6,4
"R5",8,26.1,428,29.3,18.7,10.4
"R5",9,16.8,140,12.8,11.1,4.16
"R6",1,11.5,122,14.4,13.1,4.19
"R6",10,37.7,1246,20.7,16.8,16.5
"R6",11,17.4,125,12.4,11.1,3.79
"R6",12,19.6,191,16,13.1,5.59
"R6",13,28.3,492,23.3,18.8,10.5
"R6",14,28.9,661,24.2,21.3,12.3
"R6",15,17.9,272,22.3,18.3,7.72
"R6",16,28,582,25.5,22.2,11.9
"R6",17,13.7,77.4,10.9,8.39,2.9
"R6",18,25,175,17.4,15.3,5.31
"R6",19,24.4,500,24.3,20.1,10.2
"R6",2,23.6,466,26.5,21.9,10.8
"R6",20,19.8,188,15,12,5.09
"R6",21,39.2,852,24.5,20.7,13.5
"R6",22,43.5,885,26.2,21.5,14.1
"R6",23,15.1,227,16.9,14.1,6.26
"R6",24,31,585,24.1,21.7,11.4
"R6",25,12.4,91.3,11.7,9.51,3.21
"R6",26,19.4,295,17,13.2,7.01
"R6",27,9.79,45.1,7.37,6.19,1.87
"R6",28,58.1,979,23.1,19.5,13.7
"R6",29,24,425,22.6,19.4,9.65
"R6",3,32.7,637,25.4,21.1,12
"R6",30,38.7,642,16.4,15.3,9.33
"R6",31,24.3,253,18.6,16.3,6.51
"R6",32,24.5,333,19.2,16.4,7.97
"R6",33,39.8,876,23.9,21.5,14.3
"R6",34,33.5,810,30.4,22.1,14.5
"R6",35,28.9,465,23.7,19.1,10
"R6",36,29.3,681,22.4,21.1,12
"R6",37,53.4,545,18.9,16.7,8.8
"R6",38,21.6,436,22.4,20.6,9.9
"R6",39,16.2,187,18,12.9,5.64
"R6",4,24.8,336,17.6,16.4,7.34
"R6",40,16,92.1,11.7,10.4,3.36
"R6",41,21,323,20.8,18.5,8.1
"R6",42,23,172,22,19.6,5.74
"R6",5,31.1,782,30.6,21.5,14.2
"R6",6,22.6,372,21.3,20.3,8.78
"R6",7,12.5,97.3,15.5,14.6,4
"R6",8,26.1,428,29.3,18.7,10.4
"R6",9,16.8,140,12.8,11.1,4.16
