Ring,Tree,CO2-trt,Classif,Coord1-N,Coord2-E,Height,Height (ML),Height (CC),Diameter,Dia (ML),Dia (CC),Scalar field (CC)
4,412,elevated,Suppressed,2.9,7.45,12.7,,,16.79,,,
4,413,elevated,Dominant,8.3,2.9,17.9,,,23.29,,,
4,414,elevated,Codominant,6.5,1.3,16.1,,,22.52,,,
4,415,elevated,Codominant,10.9,-2.8,16.2,,,16.24,,,
4,416,elevated,Codominant,5.3,-1.75,17.2,,,15.65,,,
4,417,elevated,Dominant,9.3,-4.75,18.6,,,26.14,,,
4,418,elevated,Suppressed,7.55,-5.55,13.3,,,17,,,
4,419,elevated,Suppressed,7.65,-8.6,14.2,,,16.6,,,
4,420,elevated,Codominant,2.5,-10.35,18.2,,,22.87,,,
4,421,elevated,Suppressed,-0.45,-4.1,12.7,,,15.77,,,
4,422,elevated,Codominant,-0.15,-7.05,18.6,,,21.92,,,
4,423,elevated,Codominant,-1.5,-9.4,18.9,,,22.45,,,
4,424,elevated,Dominant,-1.6,-10.65,19.6,,,24.87,,,
4,425,elevated,Codominant,-2.55,-6.25,14.2,,,15.79,,,
4,426,elevated,Codominant,-3.35,-5.95,13.4,,,15.72,,,
4,427,elevated,Codominant,-12.25,-3.6,15.1,,,17.56,,,
5,501,elevated,Dominant,-6.95,1.4,21.8,,,28.67,,,
5,502,elevated,Dominant,-5.5,7,21.8,,,29.84,,,
5,503,elevated,Codominant,-6.75,10.4,19.7,,,39.06,,,
5,504,elevated,Codominant,-2.6,11.85,22,,,25.4,,,
5,505,elevated,Codominant,-1.7,12.05,23.3,,,26.4,,,
5,506,elevated,Suppressed,-1.15,11.6,16.5,,,20.18,,,
5,507,elevated,Suppressed,-1.35,8.6,16.3,,,19.99,,,
5,508,elevated,Codominant,-2.55,0.5,16.9,,,19.9,,,
5,509,elevated,Codominant,4.35,10.7,21.6,,,30.52,,,
5,510,elevated,Suppressed,6.1,10.55,13.2,,,16.02,,,
5,511,elevated,Codominant,6.8,9,23,,,26.83,,,
5,512,elevated,Suppressed,4.9,8.25,17,,,20.54,,,
5,513,elevated,Dominant,4.35,6,20.9,,,39.1,,,
5,514,elevated,Codominant,1.45,-0.35,21.3,,,25.34,,,
5,515,elevated,Dominant,4.9,1.35,21.1,,,24.13,,,
5,516,elevated,Suppressed,6.9,3.7,19.8,,,21.3,,,
5,517,elevated,Suppressed,8.3,4.75,19.9,,,21.07,,,
